t_s,sim_time_s,state,z_m,x_m,y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
1.084,162.077,APPROACH,0.7427034449872091,0.00550639458049664,-0.0024089428501327297,-0.0167,-0.0058,30.0,142.326,142.326,7.07401,0.0,,False,1.28163e-15,0.0
2.092,162.651,APPROACH,0.7363024529827993,0.008099280374673893,-0.004679547065213053,2.7841,-2.569,29.1632,144.046,144.046,6.9261,0.0,,False,9.93413e-19,0.0
3.104,163.224,APPROACH,0.7272341741520469,-0.1470410954441667,-0.20803510852650806,6.4816,-7.6932,6.4292,143.956,143.956,6.24305,0.0,,False,7.99432e-22,0.0
4.218,163.802,APPROACH,0.7260608620258545,-0.6954452604661184,-0.8225810717220297,8.6873,-5.2263,-18.452,143.108,143.108,4.91208,0.0,,False,2.85476e-25,0.0
5.233,164.436,APPROACH,0.7293053821528531,-1.6644448214334486,-1.818894930450751,-0.511,0.0978,-29.995,142.702,142.702,3.62905,0.0,,False,2.02738e-28,0.0
6.241,165.013,APPROACH,0.7276748066120943,-2.5499800955256995,-2.7088703622339545,-2.4005,0.7646,-30.0008,142.88,142.88,2.51058,0.0,,False,1.55193e-31,0.0
7.268,165.589,APPROACH,0.7262726134781569,-3.300425012500459,-3.462674647324237,-3.0007,0.8967,-30.0002,142.885,142.885,1.57441,0.0,,False,1.10214e-34,0.0
8.273,166.167,APPROACH,0.7260281344869443,-3.954466812121253,-4.094025393588779,-3.4353,0.5585,-30.0065,142.875,142.875,0.854499,0.0,,False,8.54284e-38,0.0
9.294,166.747,APPROACH,0.7262139593983808,-4.457447413556438,-4.536908278907017,-2.2959,0.6787,-30.0048,143.107,143.107,0.340812,0.0,,False,5.99154e-41,0.0
10.405,167.318,ALIGN,0.7256763938101375,-4.792877320463523,-4.825981706627214,-4.4652,1.5619,-29.9926,142.876,142.876,0.104856,0.0,,False,2.36459e-44,0.0
11.414,167.955,ALIGN,0.7264616217998192,-4.938109598966649,-4.950568901414411,-1.6172,0.5695,-29.9986,142.747,142.747,0.0307123,0.0,,False,1.74344e-47,0.0
12.437,168.531,HIGH_HOVER,0.7264744329549602,-4.9817003269691815,-4.987806459761739,-0.5708,0.2021,-29.9998,142.736,142.736,0.00547047,0.0,,False,1.22276e-50,0.0
13.433,169.105,SLOW_DESCENT,0.7264446421363135,-4.996942424511844,-5.0007492208115,-0.1617,0.0666,-30.0,142.737,142.737,0.00435229,0.0,,False,1.03445e-53,0.0
14.454,169.686,NEAR_WATER,0.712634756682018,-5.002115129206243,-5.004766205407265,-0.0733,0.0121,-30.0,144.941,144.941,0.00719093,0.0,,False,7.25514e-57,0.0
15.474,170.266,NEAR_WATER,0.5362797607439165,-5.004283288275038,-5.0063654276854,-0.0282,0.0151,-30.0,143.415,143.415,0.00896307,0.0,,False,4.72074e-60,0.0
16.598,170.847,CONTACT_CONFIRM,0.4283999267811363,-5.00532712614668,-5.007508980065391,-0.0454,0.0081,-30.0,142.713,142.713,0.00966069,-0.0949043,,False,11.4245,0.0
17.607,171.482,SETTLING,0.37389091236250305,-5.0058901176376125,-5.007823445619958,-0.0431,-0.0028,-30.0,124.469,124.469,0.0109293,-0.0411686,,False,20.8559,0.304597
18.621,172.058,SPOOL_DOWN,0.36888259639206816,-5.006994818964052,-5.008747867097006,-0.0824,0.0001,-30.0,113.587,113.587,0.0102532,-0.0411686,,False,36.0138,2.38065
19.629,172.629,SPOOL_DOWN,0.35755056272313446,-5.005743651456159,-5.007510134307241,-0.2422,0.0491,-29.9999,60.8479,60.8474,0.00761811,-0.0411686,,False,71.3669,0.809175
20.653,173.204,LANDED,0.3486709027525874,-5.003442679370271,-5.006488560683199,-0.2582,-0.0131,-30.0,5.45622,5.45622,0.00758437,-0.0411686,,False,80.3414,0.0581507
