group,n,landed,success_rate,touchdown_vz_mean,touchdown_vz_std,horizontal_error_mean,horizontal_error_std,max_roll_mean,max_roll_std,abort_reasons
dist_asymmetric,5,5,1.0,-0.0434,0.0002,0.0037,0.0001,8.5667,0.0078,
dist_off,5,5,1.0,-0.0345,0.0009,0.0036,0.0,8.6231,0.0027,
dist_strong,5,5,1.0,-0.0153,0.003,0.003,0.0003,8.5503,0.0229,
nonideal,5,5,1.0,-0.221,0.0172,0.0036,0.0017,8.5744,0.0191,
offset_3.0m,5,5,1.0,-0.0343,0.001,0.0045,0.0,9.2175,0.0153,
platform,5,5,1.0,0.0238,0.0009,0.1471,0.0004,9.2653,0.0072,
